"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Afanasieva T.V.; Platov P.V.; Komolov A.V.; Kuzlyakin A.V.","Afanasieva, Tatiana V. (36631583800); Platov, Pavel V. (57222549843); Komolov, Andrey V. (58587813200); Kuzlyakin, Andrey V. (58587813100)","36631583800; 57222549843; 58587813200; 58587813100","Leveraging ChatGPT and Long Short-Term Memory in Recommender Algorithm for Self-Management of Cardiovascular Risk Factors","2024","Mathematics","12","16","2582","","","","0","10.3390/math12162582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202583614&doi=10.3390%2fmath12162582&partnerID=40&md5=e6358e5a3f64454da61a4836d4878fa3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202583614"
"Custode L.L.; Caraffini F.; Yaman A.; Iacca G.","Custode, Leonardo Lucio (57216811714); Caraffini, Fabio (55173601900); Yaman, Anil (56303565200); Iacca, Giovanni (36682414000)","57216811714; 55173601900; 56303565200; 36682414000","An investigation on the use of Large Language Models for hyperparameter tuning in Evolutionary Algorithms","2024","GECCO 2024 Companion - Proceedings of the 2024 Genetic and Evolutionary Computation Conference Companion","","","","1838","1845","7","0","10.1145/3638530.3664163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201935509&doi=10.1145%2f3638530.3664163&partnerID=40&md5=41401b7e84629edbbf303233594129bb","Conference paper","Final","","Scopus","2-s2.0-85201935509"
"Kreimeyer K.; Canzoniero J.V.; Fatteh M.; Anagnostou V.; Botsis T.","Kreimeyer, Kory (36450954100); Canzoniero, Jenna V. (57214142995); Fatteh, Maria (57732298400); Anagnostou, Valsamo (6503916207); Botsis, Taxiarchis (59297735900)","36450954100; 57214142995; 57732298400; 6503916207; 59297735900","Using Retrieval-Augmented Generation to Capture Molecularly-Driven Treatment Relationships for Precision Oncology","2024","Studies in health technology and informatics","316","","","983","987","4","0","10.3233/SHTI240575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202004674&doi=10.3233%2fSHTI240575&partnerID=40&md5=73ab64dbe5f498edcb90fedca177ca93","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202004674"
"Sxahin B.; Genç Y.E.; Doğan K.; Sxener T.E.; Sxekerci C.A.; Tanıdır Y.; Yücel S.; Tarcan T.; Cxam H.K.","Sxahin, Bahadır (59258514200); Genç, Yunus Emre (58113563900); Doğan, Kader (59154510000); Sxener, Tarık Emre (59258577400); Sxekerci, Cxağrı Akın (59258899700); Tanıdır, Yılören (58362789400); Yücel, Selçuk (55947560100); Tarcan, Tufan (6604059935); Cxam, Haydar Kamil (59258837000)","59258514200; 58113563900; 59154510000; 59258577400; 59258899700; 58362789400; 55947560100; 6604059935; 59258837000","Evaluating the Performance of ChatGPT in Urology: A Comparative Study of Knowledge Interpretation and Patient Guidance","2024","Journal of Endourology","38","8","","799","808","9","3","10.1089/end.2023.0413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195053022&doi=10.1089%2fend.2023.0413&partnerID=40&md5=f2e91e14471c54c01f2de6bbddd812aa","Article","Final","","Scopus","2-s2.0-85195053022"
"Tan X.; Cheng L.; Qiu X.; Shi S.; Cheng Y.; Chu W.; Xu Y.; Qi Y.","Tan, Xiaoyu (57193683713); Cheng, Leijun (59249320000); Qiu, Xihe (57201361694); Shi, Shaojie (58722486000); Cheng, Yuan (58835113200); Chu, Wei (57198886369); Xu, Yinghui (58481974800); Qi, Yuan (58757299300)","57193683713; 59249320000; 57201361694; 58722486000; 58835113200; 57198886369; 58481974800; 58757299300","Enhancing Personalized Headline Generation via Offline Goal-conditioned Reinforcement Learning with Large Language Models","2024","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","5762","5772","10","0","10.1145/3637528.3671638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203710578&doi=10.1145%2f3637528.3671638&partnerID=40&md5=1bcdee228ea55d7ee400cdd3fdfa0b99","Conference paper","Final","","Scopus","2-s2.0-85203710578"
"Lin X.; Wang W.; Li Y.; Feng F.; Ng S.-K.; Chua T.-S.","Lin, Xinyu (57680215200); Wang, Wenjie (57203385872); Li, Yongqi (57215326070); Feng, Fuli (57191254399); Ng, See-Kiong (7403358862); Chua, Tat-Seng (58847166100)","57680215200; 57203385872; 57215326070; 57191254399; 7403358862; 58847166100","Bridging Items and Language: A Transition Paradigm for Large Language Model-Based Recommendation","2024","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","1816","1826","10","0","10.1145/3637528.3671884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203699699&doi=10.1145%2f3637528.3671884&partnerID=40&md5=652e4c59341034457dbceddf13a517b1","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85203699699"
"Bouneffouf D.; Féraud R.","Bouneffouf, Djallel (55210872800); Féraud, Raphaël (6602456621)","55210872800; 6602456621","A Tutorial on Multi-Armed Bandit Applications for Large Language Models","2024","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","6412","6413","1","0","10.1145/3637528.3671440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203710177&doi=10.1145%2f3637528.3671440&partnerID=40&md5=376637df5f0a85bc25739085f62912be","Conference paper","Final","","Scopus","2-s2.0-85203710177"
"Onder C.E.; Koc G.; Gokbulut P.; Taskaldiran I.; Kuskonmaz S.M.","Onder, C.E. (57205732639); Koc, G. (7801431113); Gokbulut, P. (55585000100); Taskaldiran, I. (55795516700); Kuskonmaz, S.M. (56401209500)","57205732639; 7801431113; 55585000100; 55795516700; 56401209500","Evaluation of the reliability and readability of ChatGPT-4 responses regarding hypothyroidism during pregnancy","2024","Scientific Reports","14","1","243","","","","8","10.1038/s41598-023-50884-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181232664&doi=10.1038%2fs41598-023-50884-w&partnerID=40&md5=6c0d24496ef4876306affbee48727a38","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181232664"
"Chen L.; Xu F.; Li N.; Han Z.; Wang M.; Li Y.; Hui P.","Chen, Lin (57225044750); Xu, Fengli (57051858100); Li, Nian (57226294145); Han, Zhenyu (57211799936); Wang, Meng (58602110900); Li, Yong (57189401839); Hui, Pan (14029922900)","57225044750; 57051858100; 57226294145; 57211799936; 58602110900; 57189401839; 14029922900","Large Language Model-driven Meta-structure Discovery in Heterogeneous Information Network","2024","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","307","318","11","0","10.1145/3637528.3671965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203679601&doi=10.1145%2f3637528.3671965&partnerID=40&md5=81f5059200c0d4b908901a3b2c760708","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85203679601"
"Zhou J.; He X.; Sun L.; Xu J.; Chen X.; Chu Y.; Zhou L.; Liao X.; Zhang B.; Afvari S.; Gao X.","Zhou, Juexiao (57215684427); He, Xiaonan (57127382600); Sun, Liyuan (55493013800); Xu, Jiannan (58489359900); Chen, Xiuying (57211747485); Chu, Yuetan (57703090300); Zhou, Longxi (57218351862); Liao, Xingyu (57203160665); Zhang, Bin (57195073603); Afvari, Shawn (57812068600); Gao, Xin (55712115900)","57215684427; 57127382600; 55493013800; 58489359900; 57211747485; 57703090300; 57218351862; 57203160665; 57195073603; 57812068600; 55712115900","Pre-trained multimodal large language model enhances dermatological diagnosis using SkinGPT-4","2024","Nature Communications","15","1","5649","","","","0","10.1038/s41467-024-50043-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197496811&doi=10.1038%2fs41467-024-50043-3&partnerID=40&md5=e611534822d522c4749aa94e48a2a862","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197496811"
